city,state,median_sale_price
Bainbridge Island,Washington,1049000.0
Baird,Texas,149900.0
Bairdford,Pennsylvania,251110.0
Baiting Hollow,New York,544500.0
Baker,Louisiana,170000.0
Bakersfield,California,410000.0
Bakersfield,Vermont,332250.0
Bakersfield Country Club,California,478250.0
Bakerstown,Pennsylvania,528500.0
Bal Harbour,Florida,1750000.0
Bala Cynwyd,Pennsylvania,607250.0
Balaton,Minnesota,95000.0
Balch Springs,Texas,272500.0
Balcones Heights,Texas,139000.0
Bald Eagle,Pennsylvania,81500.0
Bald Head Island,North Carolina,1405250.0
Bald Knob,Arkansas,192550.0
Baldwin,Florida,230000.0
Baldwin,Georgia,297000.0
Baldwin,Louisiana,130000.0
Baldwin,Maryland,560000.0
Baldwin,New York,641635.0
Baldwin,Pennsylvania,212750.0
Baldwin,Wisconsin,283000.0
Baldwin City,Kansas,324000.0
Baldwin Harbor,New York,689000.0
Baldwin Park,California,692500.0
Baldwinsville,New York,250000.0
Baldwinville,Massachusetts,375000.0
Baldwyn,Mississippi,174900.0
Balfour,North Carolina,419750.0
Ball,Louisiana,185500.0
Ball Ground,Georgia,418500.0
Ball Pond,Connecticut,447500.0
Ballard,California,2995000.0
Ballard,Utah,305000.0
Ballenger Creek,Maryland,410250.0
Ballston,New York,474757.5
Ballston Spa,New York,340000.0
Ballville,Ohio,210475.0
Ballwin,Missouri,387500.0
Bally,Pennsylvania,265000.0
Balm,Florida,368074.75
Balmville,New York,441500.0
Baltic,Connecticut,367000.0
Baltic,Ohio,230450.0
Baltic,South Dakota,296250.0
Baltimore,Maryland,223250.0
Baltimore,Ohio,237250.0
Baltimore Highlands,Maryland,344000.0
Bancroft,Kentucky,466250.0
Bancroft,Michigan,102500.0
Bancroft,West Virginia,62500.0
Bandera,Texas,263750.0
Bandon,Oregon,480000.0
Baneberry,Tennessee,534500.0
Bangor,California,434000.0
Bangor,Maine,273950.0
Bangor,New York,85000.0
Bangor,Pennsylvania,250000.0
Bangor,Wisconsin,260000.0
Bangs,Texas,159500.0
Banks,Oregon,482500.0
Banner Hill,Tennessee,169000.0
Banning,California,389000.0
Bannockburn,Illinois,1085500.0
Bantam,Connecticut,310000.0
Bar Nunn,Wyoming,376300.0
Baraboo,Wisconsin,303000.0
Barataria,Louisiana,218750.0
Barberton,Ohio,155000.0
Barberton,Washington,522900.0
Barbourmeade,Kentucky,443250.0
Barboursville,West Virginia,281750.0
Barbourville,Kentucky,167000.0
Barclay,New Jersey,572000.0
Bardmoor,Florida,330000.0
Bardonia,New York,719500.0
Bardstown,Kentucky,234950.0
Bardwell,Texas,217000.0
Bargaintown,New Jersey,481950.0
Bargersville,Indiana,422500.0
Baring,Washington,542500.0
Bark Ranch,Colorado,733750.0
Barker,New York,252500.0
Barker Heights,North Carolina,299500.0
Barker Ten Mile,North Carolina,252625.0
Barling,Arkansas,210000.0
Barlow,Kentucky,91000.0
Barnard,Missouri,85000.0
Barnegat,New Jersey,457500.0
Barnegat Light,New Jersey,2000000.0
Barnes City,Iowa,31000.0
Barnes Lake,Michigan,251000.0
Barnes Lake-Millers Lake,Michigan,244750.0
Barnesville,Georgia,226250.0
Barnesville,Ohio,140000.0
Barneveld,New York,247500.0
Barneveld,Wisconsin,347500.0
Barnhart,Missouri,251025.75
Barnsdall,Oklahoma,119250.0
Barnstable,Massachusetts,625000.0
Barnstable Town,Massachusetts,622500.0
Barnum Island,New York,705000.0
Baroda,Michigan,252500.0
Barrackville,West Virginia,146500.0
Barre,Massachusetts,284000.0
Barre,New York,180000.0
Barre,Vermont,262500.0
Barrett,Texas,233740.0
Barrington,Illinois,500000.0
Barrington,New Jersey,361200.0
Barrington,Rhode Island,713231.25
Barrington Hills,Illinois,966250.0
Barry,Texas,354999.5
Barryton,Michigan,163500.0
Barstow,California,275000.0
Bartlesville,Oklahoma,185000.0
Bartlett,Illinois,374125.0
Bartlett,Tennessee,326700.0
Bartlett,Texas,295000.0
Barton,Maryland,125000.0
Barton,New York,177600.0
Barton Creek,Texas,2480000.0
Bartonsville,Maryland,652000.0
Bartonville,Illinois,130625.0
Bartonville,Texas,1414271.75
Bartow,Florida,298750.0
Barview,Oregon,304000.0
Basalt,Colorado,1495000.0
Basehor,Kansas,407500.0
Basking Ridge,New Jersey,998000.0
Bass Lake,California,767875.0
Bass Lake,Ohio,315000.0
Bassett,Virginia,66000.0
Bastrop,Louisiana,88000.0
Bastrop,Texas,302447.5
Batavia,Arkansas,211500.0
Batavia,Illinois,373725.0
Batavia,Iowa,168000.0
Batavia,Montana,747000.0
Batavia,New York,174949.5
Batavia,Ohio,295000.0
Batavia,Wisconsin,280000.0
Batesville,Arkansas,162750.0
Bath,Maine,401000.0
Bath,Michigan,265000.0
Bath,New York,141250.0
Bath,North Carolina,381275.0
Bath,Pennsylvania,234950.0
